iter	Passed	Remaining
258	365	1045
259	366	1042
260	366	1039
261	367	1035
262	368	1031
263	369	1028
264	370	1026
265	370	1023
266	371	1020
267	372	1017
268	373	1013
269	373	1010
270	374	1007
271	375	1004
272	375	1001
273	376	998
274	377	995
275	378	993
276	379	989
277	379	986
278	380	983
279	381	980
280	382	978
281	382	974
282	383	971
283	384	969
284	385	966
285	385	962
286	386	959
287	386	956
288	387	953
289	388	951
290	389	948
291	390	945
292	390	943
293	391	940
294	392	937
295	392	934
296	393	931
297	394	928
298	395	926
299	396	924
300	397	922
301	398	920
302	398	917
303	399	914
304	400	912
305	401	909
306	401	906
307	402	904
308	403	901
309	403	899
310	404	897
311	405	894
312	406	892
313	407	890
314	408	887
315	409	886
316	410	883
317	410	881
318	411	878
319	412	876
320	413	874
321	413	871
322	414	869
323	415	866
324	415	863
325	416	861
326	417	858
327	417	855
328	418	853
329	419	851
330	420	849
331	421	847
332	422	845
333	423	843
334	424	842
335	424	839
336	425	837
337	426	834
338	426	832
339	427	830
340	428	827
341	428	825
342	429	822
343	430	820
344	430	817
345	431	815
346	432	813
347	433	811
348	434	809
349	435	808
350	435	805
351	436	803
352	437	801
353	438	799
354	438	797
355	439	795
356	440	793
357	441	790
358	441	788
359	442	786
360	443	784
361	444	784
362	447	785
363	449	785
364	451	785
365	452	784
366	454	783
367	456	784
368	458	784
369	460	784
370	462	783
371	465	785
372	468	788
373	470	787
374	472	788
375	475	789
376	477	788
377	478	787
378	482	790
379	483	789
380	485	788
381	487	789
382	489	788
383	490	787
384	493	788
385	494	787
386	496	785
387	497	784
388	499	783
389	500	782
390	502	782
391	504	782
392	505	781
393	506	779
394	508	778
395	509	777
396	511	776
397	512	775
398	513	773
399	514	771
400	517	772
401	519	772
402	521	771
403	523	772
404	526	772
405	531	778
406	535	780
407	537	780
408	540	781
409	543	782
410	549	787
411	551	787
412	554	788
413	558	789
414	560	789
415	561	788
416	565	790
417	567	790
418	570	791
419	573	791
420	578	794
421	582	797
422	586	800
423	590	801
424	592	801
425	593	800
426	595	798
427	596	796
428	597	795
429	598	793
430	599	791
431	601	791
432	603	790
433	606	790
434	608	790
435	610	789
436	611	787
437	612	786
438	613	784
439	615	783
440	617	782
441	618	780
442	619	778
443	620	776
444	621	775
445	622	773
446	623	771
447	624	769
448	625	768
449	627	766
450	628	765
451	630	763
452	631	762
453	631	759
454	632	757
455	633	755
456	636	756
457	638	755
458	640	754
459	642	753
460	643	751
461	644	750
462	644	748
463	646	746
464	649	747
465	651	746
466	652	744
467	653	742
468	654	740
469	655	739
470	656	737
471	657	735
472	658	733
473	659	731
474	661	731
475	664	731
476	667	731
477	668	729
478	669	728
479	670	726
480	671	725
481	673	723
482	674	721
483	675	719
484	676	718
485	678	717
486	680	716
487	681	714
488	682	712
489	683	711
490	684	709
491	685	707
492	686	705
493	687	703
494	688	702
495	689	700
496	690	698
497	691	696
498	692	695
499	693	693
500	694	691
501	696	691
502	697	689
503	698	687
504	699	685
505	700	683
506	701	682
507	702	680
508	705	680
509	706	678
510	707	676
511	708	675
512	709	673
513	710	671
514	711	670
515	712	668
516	713	666
517	714	665
518	716	663
519	718	662
520	719	661
521	720	659
522	721	657
523	722	655
524	723	654
525	724	652
526	727	652
527	729	652
528	732	652
529	733	650
530	734	649
531	736	647
532	737	646
533	739	644
534	739	643
535	740	641
536	741	639
537	742	637
538	744	636
539	745	635
540	746	633
541	747	631
542	748	629
543	749	628
544	751	627
545	752	625
546	753	624
547	754	622
548	755	620
549	755	618
550	756	616
551	757	614
552	758	613
553	759	611
554	759	609
555	760	607
556	760	605
557	761	603
558	762	601
559	763	599
560	763	597
561	764	595
562	765	594
563	766	592
564	767	590
565	767	588
566	768	586
567	769	584
568	770	583
569	770	581
570	771	579
571	772	577
572	772	575
573	773	574
574	774	572
575	774	570
576	775	568
577	776	567
578	777	565
579	778	563
580	779	562
581	780	560
582	781	558
583	781	556
584	782	555
585	783	553
586	783	551
587	784	549
588	785	548
589	786	546
590	787	545
591	788	543
592	789	541
593	790	540
594	791	538
595	791	536
596	792	535
597	793	533
598	794	532
599	795	530
600	796	528
601	797	527
602	798	525
603	798	523
604	799	522
605	800	520
606	801	518
607	802	517
608	803	515
609	804	514
610	804	512
611	805	510
612	806	509
613	807	507
614	807	505
615	808	504
616	809	502
617	810	500
618	810	498
619	811	497
620	812	495
621	813	494
622	815	493
623	816	491
624	818	491
625	819	489
626	820	488
627	821	486
628	822	485
629	823	483
630	826	483
631	827	481
632	828	480
633	829	478
634	830	477
635	831	476
636	832	474
637	833	473
638	834	471
639	835	469
640	838	469
641	839	467
642	839	466
643	841	464
644	841	463
645	842	461
646	843	460
647	844	458
648	845	457
649	846	455
650	847	454
651	848	452
652	849	451
653	850	449
654	851	448
655	851	446
656	852	445
657	853	443
658	854	441
659	854	440
660	855	438
661	856	437
662	857	435
663	858	434
664	858	432
665	859	431
666	860	429
667	861	427
668	861	426
669	862	424
670	863	423
671	864	421
672	864	420
673	865	418
674	866	417
675	867	415
676	868	414
677	868	412
678	869	411
679	870	409
680	870	407
681	871	406
682	872	404
683	874	403
684	875	402
685	876	401
686	878	400
687	879	398
688	880	397
689	880	395
690	881	394
691	882	392
692	882	391
693	883	389
694	884	388
695	885	386
696	886	385
697	887	384
698	888	382
699	889	381
700	890	379
701	891	378
702	892	376
703	892	375
704	893	373
705	894	372
706	894	370
707	895	369
708	896	367
709	897	366
710	897	365
711	898	363
712	899	362
713	900	360
714	901	359
715	902	357
716	903	356
717	904	355
718	905	353
719	905	352
720	906	350
721	907	349
722	907	347
723	908	346
724	909	344
725	910	343
726	910	342
727	911	340
728	912	339
729	913	337
730	914	336
731	915	335
732	916	333
733	916	332
734	917	330
735	918	329
736	918	327
737	919	326
738	920	324
739	920	323
740	921	322
741	922	320
742	925	319
743	926	318
744	927	317
745	927	315
746	929	314
747	929	313
748	931	312
749	932	310
750	933	309
751	934	308
752	935	306
753	937	305
754	938	304
755	939	303
756	940	301
757	941	300
758	942	299
759	942	297
760	943	296
761	944	294
762	945	293
763	946	292
764	947	290
765	947	289
766	948	288
767	949	286
768	949	285
769	950	283
770	951	282
771	952	281
772	953	280
773	954	278
774	955	277
775	955	275
776	956	274
777	957	273
778	957	271
779	958	270
780	959	269
781	960	267
782	961	266
783	961	265
784	962	263
785	963	262
786	965	261
787	967	260
788	968	258
789	968	257
790	970	256
791	971	255
792	971	253
793	972	252
794	973	250
795	973	249
796	974	248
797	975	246
798	976	245
799	977	244
800	978	243
801	979	241
802	980	240
803	981	239
804	982	238
805	983	236
806	984	235
807	985	234
808	986	232
809	987	231
810	988	230
811	989	229
812	990	227
813	992	226
814	993	225
815	994	224
816	995	223
817	996	221
818	997	220
819	997	219
820	998	217
821	1000	216
822	1001	215
823	1001	213
824	1002	212
825	1003	211
826	1004	210
827	1005	208
828	1006	207
829	1007	206
830	1008	205
831	1008	203
832	1009	202
833	1010	201
834	1011	199
835	1012	198
836	1013	197
837	1013	196
838	1014	194
839	1015	193
840	1016	192
841	1018	191
842	1019	189
843	1021	188
844	1022	187
845	1024	186
846	1025	185
847	1027	184
848	1029	183
849	1030	181
850	1031	180
851	1032	179
852	1033	178
853	1034	176
854	1035	175
855	1036	174
856	1036	173
857	1037	171
858	1038	170
859	1039	169
860	1040	167
861	1041	166
862	1041	165
863	1042	164
864	1043	162
865	1043	161
866	1044	160
867	1045	159
868	1046	157
869	1047	156
870	1048	155
871	1049	153
872	1049	152
873	1050	151
874	1051	150
875	1052	148
876	1053	147
877	1054	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1059	138
884	1059	137
885	1060	136
886	1061	135
887	1062	133
888	1063	132
889	1064	131
890	1065	130
891	1066	129
892	1067	127
893	1068	126
894	1068	125
895	1069	124
896	1070	122
897	1071	121
898	1072	120
899	1072	119
900	1073	117
901	1074	116
902	1074	115
903	1076	114
904	1077	113
905	1078	111
906	1079	110
907	1080	109
908	1081	108
909	1082	107
910	1083	105
911	1085	104
912	1085	103
913	1086	102
914	1088	101
915	1089	99
916	1090	98
917	1091	97
918	1091	96
919	1092	95
920	1093	93
921	1094	92
922	1095	91
923	1096	90
924	1096	88
925	1097	87
926	1098	86
927	1098	85
928	1100	84
929	1101	82
930	1102	81
931	1102	80
932	1103	79
933	1104	78
934	1105	76
935	1106	75
936	1107	74
937	1108	73
938	1109	72
939	1110	70
940	1111	69
941	1112	68
942	1114	67
943	1117	66
944	1118	65
945	1120	63
946	1121	62
947	1122	61
948	1123	60
949	1123	59
950	1124	57
951	1125	56
952	1126	55
953	1126	54
954	1127	53
955	1128	51
956	1129	50
957	1129	49
958	1131	48
959	1132	47
960	1133	46
961	1134	44
962	1135	43
963	1136	42
964	1136	41
965	1137	40
966	1138	38
967	1139	37
968	1140	36
969	1141	35
970	1142	34
971	1143	32
972	1144	31
973	1145	30
974	1146	29
975	1147	28
976	1148	27
977	1148	25
978	1149	24
979	1150	23
980	1152	22
981	1153	21
982	1155	19
983	1157	18
984	1158	17
985	1159	16
986	1160	15
987	1162	14
988	1163	12
989	1164	11
990	1166	10
991	1167	9
992	1168	8
993	1169	7
994	1170	5
995	1171	4
996	1172	3
997	1173	2
998	1174	1
999	1178	0
